route,route_flow
"[9032, 9031, 9022, 9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 5123]",20
"[4808, 4694, 4662, 4651, 4562, 4493, 4471, 4423, 4393, 9052, 9051, 9052, 4393, 4423, 4471, 4440, 4497]",20
"[4603, 4624, 4650, 4708, 4680, 4671, 4819, 4689, 4694, 4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5123, 5122, 9174, 5190, 9155, 8345, 9157, 9158, 9156, 5100, 5122, 8352, 5012, 5021, 5012, 9161, 9160]",20
"[4651, 4662, 4689, 4660, 4589, 4605, 4616, 4630, 4603, 4565, 4608, 4624, 4603]",20
"[4630, 4680, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 9174, 5190, 5193, 5217]",180
"[4938, 4950, 4907, 4893, 4808, 4806, 4697, 4806, 4808, 4806, 4927, 4893, 4808, 4806]",20
"[5012, 8352, 5122, 9174, 9175, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671]",60
"[4518, 4565, 4539, 4616, 4605, 4671, 4660, 4589, 4562, 4651, 4662, 4689, 4662, 4651, 4562]",20
"[4655, 4624, 4650, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4635, 4651, 4697, 4806, 4808]",20
"[5012, 8352, 5122, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 5132, 5061, 4961, 4854, 4863, 4724]",20
"[4605, 4671, 4660, 4689, 4662, 4651, 4662, 4689, 4819, 4855, 4920, 9173, 4794, 4742, 4690, 4650]",20
"[4806, 4927, 5010, 9163, 5021, 5012, 4938, 4879, 4819, 4855, 4920, 4855, 4819, 4689, 4662, 4651]",20
"[9031, 9032, 5429, 8368, 5247, 5217, 5193, 5190, 9174, 5122, 8352, 5012, 5021, 9163, 9177, 9164]",20
"[4616, 4605, 4589, 4660, 4689, 4694, 4697, 4706, 4724, 4732, 4881, 4863, 4854]",20
"[4920, 4855, 4680, 4630, 4616, 4605, 4589, 4660, 4689, 4694, 4697, 4706, 4724, 4732]",20
"[4630, 4616, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 5123, 5122, 8352, 5012, 4938, 4879, 4893, 4808, 4694, 4689, 4662]",20
"[4893, 4927, 5010, 9163, 9162, 5126, 5123, 5082, 5021, 4950, 4907, 4893, 4927, 4806]",20
"[4863, 4854, 4835, 4806, 4808, 4893, 4879, 4938, 4950, 4907, 4893, 4808, 4806, 4697, 4706, 4835, 4944, 4835]",20
"[4689, 4819, 4879, 4938, 5012, 8352, 5122, 5100, 5122, 8352, 5012, 5021, 9163, 5021]",20
"[4650, 4708, 4680, 4671, 4819, 4689, 4694, 4697, 4706, 4835, 4944, 4961, 4854, 4835, 4806, 4697, 4694, 4808, 4806, 4927, 4944, 4835, 4706, 4697, 4651, 4562, 4493, 4471, 4423, 4471, 4493, 4562, 4651, 4697, 4706]",20
"[4835, 4944, 4927, 5010, 9163, 9162, 5082, 5123, 5126, 5132, 5061, 4961, 4854]",20
"[5247, 8368, 5429, 9032, 9035, 9034, 9072, 9034, 9031, 9032, 5429, 8368, 5247]",20
"[4518, 4565, 4539, 4616, 4605, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 5123, 5082]",20
"[4854, 4835, 4806, 4808, 4694, 4689, 4660, 4671, 4680, 4671, 4660, 4689, 4694, 4808]",20
"[4562, 4589, 4605, 4616, 4630, 4650, 4690, 4742, 4794, 4899, 4972, 4895, 4802, 4645]",20
"[4944, 4835, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 9163, 5010, 4927, 4944, 4835]",20
"[4927, 5010, 9163, 5021, 5012, 8352, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 4938]",20
"[9164, 9177, 9163, 9162, 5082, 8352, 5122, 9174, 9175, 5123, 5126, 9176, 8359, 5190, 5193, 5217, 5193, 5190]",20
"[4835, 4854, 4961, 4944, 4835, 4806, 4927, 4944, 4835, 4706, 4724, 4732, 4634, 4664, 4635, 4651]",20
"[4660, 4589, 4562, 4651, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 4950, 4907, 4893, 4808, 4694]",20
"[9175, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 9162, 9163, 9177, 9164]",20
"[5217, 5193, 5190, 9174, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4879, 4819, 4671]",20
"[9175, 9174, 5190, 5193, 5217, 5193, 5190, 8359, 9176, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863, 4881, 4732, 4634, 4642, 4663, 4642]",20
