u,v,length,link_flow
4938,5012,313.4782610797865,1960
4942,4918,577.7593824373051,60
4942,5026,450.2653208719355,100
4943,4621,2132.697015056698,0
4944,4835,494.5610325587744,2380
4944,4961,358.4397569468431,820
4947,4929,297.0863911565654,0
4947,4986,789.4090028565535,0
4950,4907,190.15239458157728,3160
4950,4938,631.1324855442555,840
4961,4973,559.8588754783273,40
4972,5055,461.7055198476376,60
4973,4904,311.1435764349221,760
4986,4943,589.8350156891158,0
4986,8375,537.3188655738555,0
4991,4904,582.7236033179821,0
4991,5005,451.997837567813,0
5005,5017,526.3216607773336,0
5010,4927,402.9372546737161,4460
5012,8352,586.742296284917,3340
5012,9161,609.55630818861,360
5017,5026,527.763616605499,20
5020,5045,971.1914146486628,0
5020,8373,317.1084607660276,0
5021,4950,346.68958662791346,2700
5021,5012,473.4224385246785,1840
5026,5052,439.2446195052651,0
5029,4944,440.7951455626565,40
5029,5061,240.0011034984948,40
5052,5056,1405.7372848147993,0
5052,5281,4470.003855560273,0
5055,4920,1563.2814212555,340
5055,8346,729.0367476153065,160
5056,4929,681.0613729648068,0
5056,5066,331.76665043334515,0
5061,4961,814.1399746905389,320
5061,5132,729.0114596264162,280
5066,5076,543.1777589046621,0
5066,8379,483.4611750442864,0
5073,9016,3204.0954835006155,0
5076,8371,395.5193460198171,0
5076,8457,475.644450465166,0
5082,5021,449.951537232511,3120
5084,8347,477.7605974181907,0
5100,5120,434.9138049786493,260
5101,8448,966.7378356083776,0
5101,8456,372.8278115015026,0
5105,4895,1299.599558929452,20
5105,8348,677.7886519433721,240
5113,5189,300.59170993949164,0
5113,8449,470.2939854429336,0
5122,5100,420.4647518715806,2220
5122,5123,347.3192413132459,2040
5122,9174,473.7667662450325,1660
5123,5082,462.70717487504095,3380
5123,5126,465.4573811432639,1240
5125,8378,260.8583456739898,0
5126,9162,614.5504502753772,2220
5132,5126,270.7100088588546,300
5135,5124,1900.1498530721312,0
5135,5303,6653.2320707259305,0
5140,8377,276.52532120162624,0
5140,8450,467.8147522201165,0
5154,4628,3580.010801420733,0
5154,5135,598.5847922007674,0
5156,5369,5244.399319010338,0
5174,5084,1252.5136738709195,0
5174,5199,750.916854200689,0
5176,5184,444.8418428319135,0
5184,5174,388.4724573649517,0
5184,5199,662.9791354958567,0
5189,8451,709.8817367173914,0
5190,5193,95.21714335380987,1440
5190,8359,186.7591308976988,720
